ROW_NAMES	CBX1_average	CBX3_average	CBX5_average	CBX7_average	CBX8_average	MSH2_average	MSH3_average	MSH6_average	PARP1_average	RPA1_average	RPA2_average	RPA3_average	XRCC5_average	XRCC6_average	SSBP1_average	SPIN1_average	WDR76_average	
gi|66933016|ref|NP_000875.2|	-3.210317	-2.499324	-1.961296	-1.605878	-4.485378	0.5666604	8.800808	3.645889	24.48069	-1.846436	-1.719991	-0.08878362	-3.027504	-1.338099	-1.79905	10.72081	1.204645	
gi|13904870|ref|NP_001000.2|	10.23538	2.787585	1.584007	5.185088	-3.536135	1.67498	-0.8521986	-1.145671	4.867233	0	-1.765819	-0.638725	-3.486465	-0.1721552	0	21.91518	3.384896	
gi|61744477|ref|NP_001012680.1|	0.5639502	-1.604123	-0.978896	-1.272822	-2.927115	5.394794	5.559685	3.968211	1.904707	-1.291574	6.112859	-1.383599	0.7444062	-1.88001	-0.07995985	1.815662	-2.853353	
gi|312284072|ref|NP_001185986.1|	-1.020009	-0.07589081	-1.155069	6.166328	-4.613241	-0.8740261	11.08478	11.12761	1.630556	-1.93016	-2.039238	-3.833632	-3.249429	0.1100697	0	13.54092	5.321869	
gi|186928850|ref|NP_055899.2|	8.22081	9.891401	-1.625313	89.37755	5.777554	-1.29468	-2.481317	-2.821039	-4.306188	0	-1.026436	-5.745499	-3.274698	-2.087886	0	-0.9495218	21.0012	
gi|148529014|ref|NP_001914.3|	13.02931	-1.881745	-2.394218	-0.4532055	-5.228554	-1.243398	3.591466	-0.8395877	27.6567	-2.144601	-2.463026	-5.300278	-2.646377	-2.713847	-1.989667	4.779214	17.98841	
gi|124494238|ref|NP_001074248.1|	-4.678305	-1.863405	-2.436979	54.73827	-6.166912	-0.8757149	0.3061152	2.244049	-0.9937922	-1.695263	-0.9462727	-5.853394	-3.953776	-2.944866	0	-1.170231	72.01003	
gi|23510448|ref|NP_006730.2|	0.4746157	-2.398217	-1.023258	4.579448	0.6410777	0.01474718	6.475739	3.15805	4.377938	-0.8078846	-1.184836	-2.507348	-1.286499	-1.473924	3.691337	0.7232619	0.4878069	
gi|14670350|ref|NP_127492.1|	-1.431193	0.1506911	-2.094599	1.690741	-1.621836	4.63294	8.837694	0.8708227	23.13871	-0.9507301	-0.9663126	-2.192179	-3.505186	-2.345143	-2.307931	3.212877	5.932761	
gi|223029410|ref|NP_006280.3|	-5.288689	-5.317873	-2.106351	-1.106311	-6.562481	1.951374	9.737156	4.196669	196.9493	-2.105798	-1.08372	-5.633945	-4.646646	-2.629406	-2.949476	6.221112	-4.966198	
